ulasan,rating,tanggal
sinyal ampas,1,2025-07-05 14:02:41
"sinyal parah kadang muncul ,,lebih sering ilang terus",1,2025-07-05 14:02:01
"my telkomsel versi paling buruk Terburuk..tidak bisa menambah no telkomsel ."" maaf otp ada bermasalah """,1,2025-07-05 14:01:59
jaringan sangat bagus,5,2025-07-05 14:01:26
"telomsel jaringan sangat buruk , apa telomsel tidak mampu lagi melayani.",1,2025-07-05 14:01:05
mantap,5,2025-07-05 13:56:07
kenapa sih pas di pake maen gem sinyal nya jelek banget ga ketulungan,1,2025-07-05 13:54:35
"lelet banget aplikasi dan jaringan Telkomsel sekarang, ga seperti dulu yg jaringan nya selalu bagus",2,2025-07-05 13:53:55
bagus,5,2025-07-05 13:52:56
telkomsel semakin rajin beli paket malah semakin mahal bangke,1,2025-07-05 13:52:07
aplikasi yg kurang nyaman aman dan gak bagus sekarang...karna pulsa habis di buat game Telkomsel gak tentu...dari 150 ribu sampai tinggal 2000 lagi...melalui pesan2 yg GK jelas nomor nya...tolong cek dan koreksi Telkomsel...,1,2025-07-05 13:50:13
loading terus di beranda ga jelas sisa kuota pun susah untuk di cek..,1,2025-07-05 13:49:48
"mau beli kuota stuck mulu, harus download ulg lagi bisa apa apa an ini. ke retas lagi",2,2025-07-05 13:48:26
lama proses,5,2025-07-05 13:48:02
lama2 di buka makin lemot,3,2025-07-05 13:46:03
👍,5,2025-07-05 13:46:00
banyak bug,2,2025-07-05 13:45:08
semakin sering dibeli semakin mahal kocak,1,2025-07-05 13:44:14
sinyal kalian burix,5,2025-07-05 13:43:59
good Telkomsel,5,2025-07-05 13:41:20
aplikasi lucu... loading kq terus....,1,2025-07-05 13:39:56
aplikasinya berat banget 😭 stuck mulu,2,2025-07-05 13:39:14
Aplikasi lelet dan ribet..,1,2025-07-05 13:38:31
Aplikasi paling busuk se indonesia,1,2025-07-05 13:36:55
sinyal jelek paket mahal,1,2025-07-05 13:36:46
sinyal gajelas paket elit sinyal sulit,1,2025-07-05 13:36:45
jaringan nya gak stabil di daerah perumahan,1,2025-07-05 13:35:46
